date,open,high,low,close,volume
2025-10-21,166.8,169.24,166.2,168.83,6176069
2025-10-22,167.49,169.78,166.02,169.27,10083801
2025-10-23,168.33,171.25,167.88,170.03,6546403
2025-10-24,171.69,172.42,168.47,168.94,6255987
2025-10-27,168.95,205.95,168.82,187.68,81799263
2025-10-28,183.925,185.91,179.41,181.03,20323130
2025-10-29,182,183.49,178.2,178.67,11614583
2025-10-30,178.68,179.88,177.19,177.26,7862891
2025-10-31,178.52,182.15,176.83,180.9,9452781
2025-11-03,182.95,183.45,179.09,180.72,8535148
2025-11-04,177.48,179.34,172.29,172.84,12323606
2025-11-05,174.76,183.429,174.32,179.72,18845528
2025-11-06,177.8,178.51,170.06,173.2,16184721
2025-11-07,172.725,174.25,168.25,170.89,10614712
2025-11-10,173.755,174.7975,169.5,171.57,10129284
2025-11-11,171,175.98,171,173.98,8419074
2025-11-12,175,177.42,174.88,176.67,8785819
2025-11-13,176.63,178.83,173.03,174.5,9526052
2025-11-14,171.775,175.69,171.4,173.98,7949889
2025-11-17,172.8,174.84,165.17,166.75,10211090
2025-11-18,164.89,166.79,161.39,165.06,11073247
2025-11-19,164.69,167.51,164.11,166.11,8176450
2025-11-20,167.13,168.88,158.85,159.59,12075367
2025-11-21,160.75,165.27,159.1,163.3,10815045
2025-11-24,164.37,166.94,163.72,165.06,12070083
2025-11-25,163.99,164.97,161.8739,163.3,7758117
2025-11-26,164.12,166.25,163.15,165.14,7967687
2025-11-28,165.03,168.19,164.13,168.09,5068827
2025-12-01,165.91,169.03,165.5,168.04,6818321
2025-12-02,168.75,171.17,167.64,170.7,9159133
2025-12-03,170.9,175.09,170.35,175.07,7624346
2025-12-04,174.33,174.93,173.23,174.35,7245026
2025-12-05,174.74,177.25,174.5,174.81,8400077
2025-12-08,174.74,175.5,173.72,175.31,6690187
2025-12-09,174.5,176.348,172.32,176,7719074
2025-12-10,175.81,183.44,175.252,182.21,11100123
2025-12-11,181.37,181.64,178.09,181.27,6319247
2025-12-12,181.245,183.11,177.87,178.29,8865761
2025-12-15,179.715,180.31,176.39,179.26,6954650
2025-12-16,179.185,179.185,174.81,176.12,7135986
2025-12-17,176.12,177.48,172.05,172.34,8501903
2025-12-18,175.71,177.08,173.525,174.19,8967544
2025-12-19,174.44,177.19,174.2,175.25,25223476
2025-12-22,177.555,178.3192,173.895,174.22,6422135
2025-12-23,173.61,175.27,173.51,174.75,4690449
2025-12-24,175.04,175.49,174.415,174.77,1645260
2025-12-26,175,175.5,174.35,174.81,2442840
2025-12-29,174.01,175.19,172.79,173.43,3978377
2025-12-30,174.06,174.4,173.34,173.65,3429263
2025-12-31,173.61,173.775,171.01,171.05,4682573
2026-01-02,173.798,174.68,172.2,172.98,6532243
2026-01-05,175.46,178.85,174.01,176.31,8972210
2026-01-06,177.205,184.45,176.62,182.45,11033895
2026-01-07,182.39,184.07,177.11,180.19,9853049
2026-01-08,178.8,184.31,176.2,181.87,8353491
2026-01-09,178.12,179.44,174.8,177.78,9662223
2026-01-12,175.88,175.88,169.24,169.27,13657649
2026-01-13,166.98,168.35,164.97,165.29,9993286
2026-01-14,163.685,164.74,162.35,164.54,7959944
2026-01-15,166.45,166.5,161.03,161.39,9241619
2026-01-16,161.39,161.7,159.21,159.42,11990784
2026-01-20,154.95,157.715,153.25,154.07,11971422
2026-01-21,156.33,157.525,154.62,156.37,9181864
2026-01-22,158.47,159.43,156.81,157.8,7450265
2026-01-23,157.04,157.98,154.8514,155.82,7106729
2026-01-26,154.8,156.2,154.3,154.52,8004190
2026-01-27,156.325,156.74,152.66,153.04,8354602
2026-01-28,152,154,150.4,152.7,8538968
2026-01-29,153.09,153.23,149.73,152.22,9142912
2026-01-30,149.96,153.065,149.83,151.59,9577248
2026-02-02,150.97,153.64,150.82,152.62,9099119
2026-02-03,150.72,150.72,144.3,147.18,11966390
2026-02-04,148.71,153.47,148.17,148.89,19249273
2026-02-05,132.92,139.33,132.73,136.3,30229556
2026-02-06,136.87,139.15,135.2775,137.34,15036844
2026-02-09,137.1,139.94,136.5,138.93,11022743
2026-02-10,138.145,140.41,136.79,140.09,9762893
2026-02-11,140.03,142.39,139.11,141.04,9379251
2026-02-12,140.86,141.4999,136.74,138.47,12416602
2026-02-13,137.12,141.48,136.74,140.7,13134422
2026-02-17,141,143.5,140.01,142.63,10670747
2026-02-18,143.5,144.48,140.72,143.24,9944518
2026-02-19,141.875,142.32,139.9,141.27,8219408
2026-02-20,140.305,144.07,140.1,142.88,10265141
2026-02-23,141.97,144.06,139.64,140.41,8260065.565888
2026-02-24,142.555,146.37,142.06,144.78,11085713.174472
2026-02-25,145.6,146.025,144.02,145.82,7358297.986075
2026-02-26,145.92,146.94,144.52,145.59,8642078.954704
2026-02-27,142.855,143.91,141.35,142.36,12439865.521218
2026-03-02,137.825,142.005,136.894,141.03,8963863.492919
2026-03-03,138.265,139.2,136.3,138.13,10372448.426802
2026-03-04,138.22,139.89,137.42,139.51,9309766.617153
2026-03-05,137.59,139.66,135.8,137,8980989.733056
2026-03-06,134.168,137.18,133.42,135.69,9196954.706409
2026-03-09,133.49,138.58,132.46,138.11,12304572.220645
2026-03-10,134.7,136.745,132.16,135.2,10447281.184111
